City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Along,IN,28.1667,94.7667,71.49,57,99,0.74,overcast clouds
276,Nanortalik,GL,60.1432,-45.2371,35.22,81,100,11.97,overcast clouds
277,Yulara,AU,-25.2406,130.9889,89.6,15,0,5.75,clear sky
278,Carnarvon,AU,-24.8667,113.6333,84.2,51,90,14.97,overcast clouds
279,Novyy Oskol,RU,50.7631,37.8691,34.14,68,100,3.91,overcast clouds
280,Cidreira,BR,-30.1811,-50.2056,73.56,80,100,19.93,overcast clouds
281,Shelburne,CA,44.0787,-80.2041,57.99,53,100,13.8,overcast clouds
282,Nizwa,OM,22.9333,57.5333,76.15,28,0,1.23,clear sky
283,Ahuimanu,US,21.4447,-157.8378,78.8,60,40,16.11,scattered clouds
284,Port Macquarie,AU,-31.4333,152.9167,82.99,54,0,3.0,clear sky
285,Bonavista,CA,48.6499,-53.1147,37.4,100,100,5.75,overcast clouds
286,Fort Nelson,CA,58.8053,-122.7002,32.0,43,90,10.36,overcast clouds
287,Batagay-Alyta,RU,67.8006,130.4114,6.53,89,100,8.03,light snow
288,Pandan,PH,14.0453,124.1694,83.08,64,64,10.69,broken clouds
289,Onalaska,US,43.8844,-91.2351,55.4,62,75,3.91,broken clouds
290,Kaya,BF,13.0917,-1.0844,81.72,9,7,8.66,clear sky
291,Tateyama,JP,34.9833,139.8667,57.2,44,75,13.8,broken clouds
292,Severo-Kurilsk,RU,50.6789,156.125,32.29,97,100,13.18,snow
293,Lander,US,42.833,-108.7307,48.2,31,20,17.27,few clouds
294,Bengkulu,ID,-3.8004,102.2655,83.84,65,43,8.43,scattered clouds
295,Hansot,IN,21.5833,72.8,77.0,88,0,4.94,mist
296,Egvekinot,RU,66.3167,-179.1667,-4.5,92,80,3.67,broken clouds
297,Chapais,CA,49.7834,-74.8492,46.4,76,90,6.91,overcast clouds
298,Sitka,US,57.0531,-135.33,37.4,81,90,18.41,snow
299,Nesbyen,NO,60.5681,9.1027,25.0,84,99,3.0,overcast clouds
300,Buala,SB,-8.145,159.5921,76.98,86,100,3.91,light rain
301,Ust-Tsilma,RU,65.441,52.1498,37.74,95,100,15.9,overcast clouds
302,Santa Rosa,PH,14.3122,121.1114,87.01,58,33,1.99,scattered clouds
303,Kumylzhenskaya,RU,49.8809,42.5898,41.0,92,100,5.99,overcast clouds
304,Djibo,BF,14.1022,-1.6306,81.66,9,20,10.42,few clouds
305,Pochutla,MX,15.7432,-96.4661,82.0,66,4,4.0,clear sky
306,Kosh-Agach,RU,50.0,88.6667,30.06,62,60,2.26,broken clouds
307,Sinnamary,GF,5.3833,-52.95,75.79,89,99,5.7,moderate rain
308,Zhanaozen,KZ,43.3,52.8,59.47,46,0,16.75,clear sky
309,Jucas,BR,-6.5253,-39.5275,71.62,79,69,1.92,broken clouds
310,Roebourne,AU,-20.7833,117.1333,85.66,62,96,15.77,overcast clouds
311,Botshabelo,ZA,-29.2702,26.7052,50.0,87,2,0.94,clear sky
312,Puerto Del Rosario,ES,28.5004,-13.8627,64.4,77,0,5.97,clear sky
313,Bilibino,RU,68.0546,166.4372,8.74,68,19,3.27,few clouds
314,Tacuarembo,UY,-31.7333,-55.9833,69.93,68,93,6.11,overcast clouds
315,Tabas,IR,33.5959,56.9244,72.0,15,12,0.83,few clouds
316,Faya,SA,18.3851,42.4509,62.6,51,0,4.61,clear sky
317,Lavrentiya,RU,65.5833,-171.0,-3.37,85,6,2.68,clear sky
318,Khomeyn,IR,33.6423,50.0789,55.89,49,74,2.37,broken clouds
319,Santa Cruz Del Sur,CU,20.7147,-77.9956,74.73,73,99,15.43,overcast clouds
320,Banjar,ID,-8.19,114.9675,87.8,58,20,4.61,few clouds
321,Abu Samrah,SY,35.3029,37.1841,52.34,81,2,6.06,clear sky
322,Caravelas,BR,-17.7125,-39.2481,74.84,79,64,11.7,broken clouds
323,Keetmanshoop,NA,-26.5833,18.1333,69.8,49,0,8.05,clear sky
324,Chipinge,ZW,-20.1883,32.6236,55.72,81,0,2.08,clear sky
325,Zhaodong,CN,46.0833,125.9833,46.4,27,0,4.47,clear sky
326,Kudal,IN,16.0333,73.6833,84.16,61,29,1.45,scattered clouds
327,Inhambane,MZ,-23.865,35.3833,71.04,85,6,6.13,clear sky
328,Pizarro,CO,4.9533,-77.366,77.4,89,100,3.89,moderate rain
329,Lethem,GY,3.3803,-59.7968,73.45,89,100,4.23,overcast clouds
330,Tegal,ID,-6.8694,109.1402,83.75,70,14,8.61,few clouds
331,Portlethen,GB,57.0547,-2.1307,35.01,86,20,16.11,few clouds
332,Kavaratti,IN,10.5669,72.642,83.44,64,57,8.25,broken clouds
333,Tashtagol,RU,52.7657,87.8894,34.36,87,96,2.53,overcast clouds
334,Sao Filipe,CV,14.8961,-24.4956,73.49,65,1,8.68,clear sky
335,Platteville,US,42.7342,-90.4785,50.0,100,90,6.91,overcast clouds
336,Allapalli,IN,19.4167,80.0667,89.29,35,68,5.3,broken clouds
337,Beringovskiy,RU,63.05,179.3167,7.63,89,79,6.04,broken clouds
338,Sao Francisco,BR,-15.9486,-44.8644,68.99,70,97,5.53,overcast clouds
339,Victoria,HK,22.2855,114.1577,69.01,85,100,5.01,overcast clouds
340,Aksarka,RU,66.5606,67.7975,31.32,85,100,13.44,overcast clouds
341,Vallenar,CL,-28.5708,-70.7581,65.95,58,0,1.16,clear sky
342,Lazaro Cardenas,MX,17.9583,-102.2,74.61,74,0,4.9,clear sky
343,Napajedla,CZ,49.1716,17.5119,28.0,81,17,5.59,few clouds
344,Acapetahua,MX,15.2833,-92.7,82.4,74,40,3.44,scattered clouds
