City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
264,Lufilufi,WS,2021-04-06 02:55:31,-13.8745,-171.5986,86.0,79,75,4.61
265,Leningradskiy,RU,2021-04-06 02:55:28,69.3833,178.4167,1.27,90,100,5.19
266,Kysyl-Syr,RU,2021-04-06 02:55:31,63.8986,122.7617,5.5,83,100,1.74
267,Vitina,BA,2021-04-06 02:55:32,43.2375,17.4839,33.8,86,0,2.3
268,Isla Vista,US,2021-04-06 02:55:32,34.4133,-119.861,64.4,55,1,5.75
269,Ajdabiya,LY,2021-04-06 02:55:32,30.7554,20.2263,64.47,71,8,15.77
270,Longyearbyen,SJ,2021-04-06 02:55:33,78.2186,15.6401,12.2,67,40,19.57
271,Salvador,SV,2021-04-06 02:52:47,13.8333,-88.9167,84.2,48,0,10.36
272,Santa Rosa,PH,2021-04-06 02:55:33,14.3122,121.1114,89.6,55,20,8.05
273,Esperance,AU,2021-04-06 02:55:33,-33.8667,121.9,86.0,32,11,9.22
274,Vigrestad,NO,2021-04-06 02:55:34,58.5667,5.7,30.99,96,100,1.99
275,Cabo San Lucas,MX,2021-04-06 02:53:24,22.8909,-109.9124,80.6,41,1,11.5
276,Acarau,BR,2021-04-06 02:55:34,-2.8856,-40.12,77.07,85,27,11.05
277,Stephenville,US,2021-04-06 02:55:34,32.2207,-98.2023,66.2,59,1,4.61
278,Clarksville,US,2021-04-06 02:54:54,36.5298,-87.3595,68.0,48,90,5.91
279,Opuwo,NA,2021-04-06 02:55:35,-18.0607,13.84,68.76,45,1,5.59
280,Lata,PT,2021-04-06 02:55:35,40.1629,-8.3327,53.01,90,5,2.73
281,Bandarbeyla,SO,2021-04-06 02:55:35,9.4942,50.8122,77.09,64,63,6.15
282,Kamalpur,IN,2021-04-06 02:55:36,24.2,91.8333,78.8,73,0,3.38
283,Barentu,ER,2021-04-06 02:55:36,15.1139,37.5928,75.27,45,1,4.0
284,Vardo,NO,2021-04-06 02:55:36,70.3705,31.1107,35.6,75,75,20.71
285,Svetlogorsk,BY,2021-04-06 02:55:37,52.6333,29.7333,39.96,71,100,12.06
286,Chapais,CA,2021-04-06 02:55:37,49.7834,-74.8492,32.0,51,1,8.05
287,Rence,SI,2021-04-06 02:55:37,45.89,13.6686,48.99,66,90,4.61
