City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
262,Savannakhet,LA,86.0,scattered clouds,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์
263,Margate,GB,41.0,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
264,Muros,ES,48.0,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
265,Mananjary,MG,73.4,overcast clouds,-21.2167,48.3333,Vahiny Lodge
267,Itarema,BR,79.54,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
268,Pingliang,CN,50.63,moderate rain,35.5392,106.6861,North Gate Hostel
269,Namatanai,PG,80.02,light rain,-3.6667,152.4333,Namatanai Hotel
270,Popondetta,PG,89.06,overcast clouds,-8.7537,148.2534,Timos Transit House
271,Praia,CV,71.6,clear sky,14.9215,-23.5087,LT Aparthotel
272,Longyearbyen,SJ,28.4,few clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
273,Pedernales,DO,77.68,overcast clouds,18.0384,-71.744,Hotel Costa Marina
274,Tasiilaq,GL,15.8,overcast clouds,65.6145,-37.6368,The Red House
275,Along,IN,71.49,overcast clouds,28.1667,94.7667,Hotel West
276,Nanortalik,GL,35.22,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
277,Yulara,AU,89.6,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
278,Carnarvon,AU,84.2,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
279,Novyy Oskol,RU,34.14,overcast clouds,50.7631,37.8691,Hotel Chistopol
280,Cidreira,BR,73.56,overcast clouds,-30.1811,-50.2056,Hotel Castelo
281,Shelburne,CA,57.99,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
282,Nizwa,OM,76.15,clear sky,22.9333,57.5333,Orient Apartments
283,Ahuimanu,US,78.8,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
284,Port Macquarie,AU,82.99,clear sky,-31.4333,152.9167,Rydges Port Macquarie
285,Bonavista,CA,37.4,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
286,Fort Nelson,CA,32.0,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
288,Pandan,PH,83.08,broken clouds,14.0453,124.1694,Bonifacio Lodge
289,Onalaska,US,55.4,broken clouds,43.8844,-91.2351,Stoney Creek Hotel & Conference Center
290,Kaya,BF,81.72,clear sky,13.0917,-1.0844,Maison de l'appelé
291,Tateyama,JP,57.2,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
292,Severo-Kurilsk,RU,32.29,snow,50.6789,156.125,Kak Doma
293,Lander,US,48.2,few clouds,42.833,-108.7307,Holiday Inn Express & Suites Lander
294,Bengkulu,ID,83.84,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
295,Hansot,IN,77.0,mist,21.5833,72.8,Iram woden mart
297,Chapais,CA,46.4,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
298,Sitka,US,37.4,snow,57.0531,-135.33,Westmark Sitka
299,Nesbyen,NO,25.0,overcast clouds,60.5681,9.1027,Nesbyen Event
300,Buala,SB,76.98,light rain,-8.145,159.5921,Maringe Lagoon Lodge
301,Ust-Tsilma,RU,37.74,overcast clouds,65.441,52.1498,U Praskov'i
302,Santa Rosa,PH,87.01,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
303,Kumylzhenskaya,RU,41.0,overcast clouds,49.8809,42.5898,"Gostinitsa ""Sosnovyy Dvor"""
304,Djibo,BF,81.66,few clouds,14.1022,-1.6306,Centre Des Ressources DPENA
305,Pochutla,MX,82.0,clear sky,15.7432,-96.4661,Hotel Posada San Jose
306,Kosh-Agach,RU,30.06,broken clouds,50.0,88.6667,Fermerskiy Dom v Kosh-Agache
307,Sinnamary,GF,75.79,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
308,Zhanaozen,KZ,59.47,clear sky,43.3,52.8,K.korabay 28A
309,Jucas,BR,71.62,broken clouds,-6.5253,-39.5275,Pousada e pizzaria Frogomercambar
310,Roebourne,AU,85.66,overcast clouds,-20.7833,117.1333,Harding River Caravan Park
311,Botshabelo,ZA,50.0,clear sky,-29.2702,26.7052,Botshabelo-L
312,Puerto Del Rosario,ES,64.4,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
313,Bilibino,RU,8.74,few clouds,68.0546,166.4372,Gostinitsa Severyanka
314,Tacuarembo,UY,69.93,overcast clouds,-31.7333,-55.9833,Complejo San Fructuoso
315,Tabas,IR,72.0,few clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
316,Faya,SA,62.6,clear sky,18.3851,42.4509,مقبرة ال مجمل
318,Khomeyn,IR,55.89,broken clouds,33.6423,50.0789,موبایل مزدک (سجاد)
320,Banjar,ID,87.8,few clouds,-8.19,114.9675,The Hamsa Resort
322,Caravelas,BR,74.84,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
323,Keetmanshoop,,69.8,clear sky,-26.5833,18.1333,Quiver Inn Guesthouse
324,Chipinge,ZW,55.72,clear sky,-20.1883,32.6236,Chipinge Breeze Lodge
325,Zhaodong,CN,46.4,clear sky,46.0833,125.9833,Fuhe Hotel
326,Kudal,IN,84.16,scattered clouds,16.0333,73.6833,Coconut Hotel
327,Inhambane,MZ,71.04,clear sky,-23.865,35.3833,Oceano
328,Pizarro,CO,77.4,moderate rain,4.9533,-77.366,Hotel Limonar
329,Lethem,GY,73.45,overcast clouds,3.3803,-59.7968,Savannah Inn
330,Tegal,ID,83.75,few clouds,-6.8694,109.1402,Riez Palace Hotel
331,Portlethen,GB,35.01,few clouds,57.0547,-2.1307,Premier Inn Aberdeen South (Portlethen) hotel
332,Kavaratti,IN,83.44,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
333,Tashtagol,RU,34.36,overcast clouds,52.7657,87.8894,коттедж
334,Sao Filipe,CV,73.49,clear sky,14.8961,-24.4956,Tortuga B&B
335,Platteville,US,50.0,overcast clouds,42.7342,-90.4785,"Country Inn & Suites by Radisson, Platteville, WI"
336,Allapalli,IN,89.29,broken clouds,19.4167,80.0667,Hotel IK Residency
337,Beringovskiy,RU,7.63,broken clouds,63.05,179.3167,Beringgorski
338,Sao Francisco,BR,68.99,overcast clouds,-15.9486,-44.8644,Hotel Supremo
339,Victoria,HK,69.01,overcast clouds,22.2855,114.1577,Mini Hotel Central
341,Vallenar,CL,65.95,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
342,Lazaro Cardenas,MX,74.61,clear sky,17.9583,-102.2,Hotel Quinta Antigua
343,Napajedla,CZ,28.0,few clouds,49.1716,17.5119,Hotel Rottal
344,Acapetahua,MX,82.4,scattered clouds,15.2833,-92.7,Hotel Carmen
345,Xicotencatl,MX,80.01,overcast clouds,23.0167,-98.8833,Misioneros Vázquez Mireles
346,Newport,GB,45.0,overcast clouds,51.5877,-2.9984,ibis budget Newport
